Date,ExchangeRate,CurrencyCode
2023-02-15,1.4356,CAD
2023-02-15,1.5529,AUD
2023-02-16,1.5500,AUD
2023-02-16,0.9873,CHF
2023-02-16,154.3000,ISK
2023-02-16,0.8888,GBP
2023-02-16,88.4574,INR
2023-02-16,1.4334,CAD
2023-02-16,3.7907,ILS
2023-02-16,23.6850,CZK
2023-02-16,1.9558,BGN
2023-02-16,8.3985,HKD
2023-02-16,5.6090,BRL
2023-02-16,7.3351,CNY
2023-02-16,382.6500,HUF
2023-02-16,7.4490,DKK
2023-02-16,16193.3800,IDR
2023-02-17,7.4464,DKK
2023-02-17,386.6100,HUF
2023-02-17,8.3349,HKD
2023-02-17,1.5560,AUD
2023-02-17,88.0210,INR
2023-02-17,3.7850,ILS
2023-02-17,0.8889,GBP
2023-02-17,1.4366,CAD
2023-02-17,0.9896,CHF
2023-02-17,154.1000,ISK
2023-02-17,16160.7000,IDR
2023-02-17,7.3081,CNY
2023-02-17,23.7150,CZK
2023-02-17,5.5487,BRL
2023-02-17,1.9558,BGN
2023-02-18,1.4366,CAD
2023-02-18,386.6100,HUF
2023-02-18,3.7850,ILS
2023-02-18,23.7150,CZK
2023-02-18,8.3349,HKD
2023-02-18,1.5560,AUD
2023-02-18,0.8889,GBP
2023-02-18,88.0210,INR
2023-02-18,7.4464,DKK
2023-02-18,7.3081,CNY
2023-02-18,154.1000,ISK
2023-02-18,0.9896,CHF
2023-02-18,16160.7000,IDR
2023-02-18,5.5487,BRL
2023-02-18,1.9558,BGN
2023-02-19,1.4366,CAD
2023-02-19,3.7850,ILS
2023-02-19,154.1000,ISK
2023-02-19,1.9558,BGN
2023-02-19,8.3349,HKD
2023-02-19,88.0210,INR
2023-02-19,0.9896,CHF
2023-02-19,7.4464,DKK
2023-02-19,0.8889,GBP
2023-02-19,23.7150,CZK
2023-02-19,7.3081,CNY
2023-02-19,386.6100,HUF
2023-02-19,1.5560,AUD
2023-02-19,5.5487,BRL
2023-02-19,16160.7000,IDR
2023-02-20,154.7000,ISK
2023-02-20,7.3191,CNY
2023-02-20,8.3623,HKD
2023-02-20,1.9558,BGN
2023-02-20,382.8300,HUF
2023-02-20,88.3060,INR
2023-02-20,1.5456,AUD
2023-02-20,16178.6900,IDR
2023-02-20,5.5162,BRL
2023-02-20,0.9861,CHF
2023-02-20,3.8032,ILS
2023-02-20,0.8874,GBP
2023-02-20,23.6930,CZK
2023-02-20,7.4461,DKK
2023-02-20,1.4367,CAD
2023-02-21,3.8859,ILS
2023-02-21,0.9853,CHF
2023-02-21,16194.8100,IDR
2023-02-21,88.2835,INR
2023-02-21,154.1000,ISK
2023-02-21,1.9558,BGN
2023-02-21,0.8792,GBP
2023-02-21,5.5110,BRL
2023-02-21,1.5517,AUD
2023-02-21,7.4456,DKK
2023-02-21,382.1900,HUF
2023-02-21,7.3372,CNY
2023-02-21,8.3645,HKD
2023-02-21,1.4351,CAD
2023-02-21,23.7300,CZK
2023-02-22,154.3000,ISK
2023-02-22,0.8794,GBP
2023-02-22,3.8860,ILS
2023-02-22,23.6690,CZK
2023-02-22,382.3300,HUF
2023-02-22,8.3512,HKD
2023-02-22,0.9870,CHF
2023-02-22,1.9558,BGN
2023-02-22,88.2380,INR
2023-02-22,7.3367,CNY
2023-02-22,1.4408,CAD
2023-02-22,7.4459,DKK
2023-02-22,1.5576,AUD
2023-02-22,16178.1200,IDR
2023-02-22,5.5008,BRL
2023-02-23,5.4765,BRL
2023-02-23,23.6860,CZK
2023-02-23,1.5551,AUD
2023-02-23,7.4429,DKK
2023-02-23,381.4300,HUF
2023-02-23,8.3291,HKD
2023-02-23,7.3227,CNY
2023-02-23,0.8814,GBP
2023-02-23,16141.0500,IDR
2023-02-23,87.6695,INR
2023-02-23,1.9558,BGN
2023-02-23,1.4366,CAD
2023-02-23,152.7000,ISK
2023-02-23,3.8401,ILS
2023-02-23,0.9892,CHF
2023-02-24,1.5668,AUD
2023-02-24,23.6430,CZK
2023-02-24,380.6000,HUF
